"lemma","word","kjv_def","strongs_def","derivation"
"H5864","עִיִּים","Iim.","Ijim, a place in the Desert.","plural of H5856 (עִי); ruins;"
"H5865","עֵילוֹם","ever.","{concealed, i.e. the vanishing point; generally, time out of mind (past or future), i.e. (practically) eternity; frequentatively, adverbial (especially with prepositional prefix) always}","for H5769 (עוֹלָם)"
"H5866","עִילַי","Ilai.","Ilai, an Israelite","from H5927 (עָלָה); elevated;"
"H5867","עֵילָם","Elam.","Elam, a son of Shem and his descendants, with their country; also of six Israelites","or עוֹלָם; (Ezra 10:2; Jeremiah 49:36), probably from H5956 (עָלַם); hidden, i.e. distant;"
"H5868","עֲיָם","mighty.","probably meaning strength","of doubtful origin and authenticity;"
"H5869","עַיִן","affliction, outward appearance, [phrase] before, [phrase] think best, colour, conceit, [phrase] be content, countenance, [phrase] displease, eye((-brow), (-d), -sight), face, [phrase] favour, fountain, furrow (from the margin), [idiom] him, [phrase] humble, knowledge, look, ([phrase] well), [idiom] me, open(-ly), [phrase] (not) please, presence, [phrase] regard, resemblance, sight, [idiom] thee, [idiom] them, [phrase] think, [idiom] us, well, [idiom] you(-rselves).","an eye (literally or figuratively); by analogy, a fountain (as the eye of the landscape)","probably a primitive word;"
"H5870","עַיִן","eye.","an eye","(Aramaic) corresponding to H5869 (עַיִן);"
"H5871","עַיִן","Ain.","Ajin, the name (thus simply) of two places in Palestine","the same as H5869 (עַיִן); fountain;"
"H5872","עֵין גֶּדִי","En-gedi.","En-Gedi, a place in Palestine","from H5869 (עַיִן) and H1423 (גְּדִי); fountain of a kid;"
"H5873","עֵין גַּנִּים","En-gannim.","En-Gannim, a place in Palestine","from H5869 (עַיִן) and the plural of H1588 (גַּן); fountain of gardens;"
"H5874","עֵין־דֹּאר","En-dor.","En-Dor, a place in Palestine","or עֵין דּוֹר; or עֵין־דֹּר; from H5869 (עַיִן) and H1755 (דּוֹר); fountain of dwelling;"
"H5875","עֵין הַקּוֹרֵא","En-hakhore.","En-hak-Kore, a place near Palestine","from H5869 (עַיִן) and the active participle of H7121 (קָרָא); fountain of One calling;"
"H5876","עֵין חַדָּה","En-haddah.","En-Chaddah, a place in Palestine","from H5869 (עַיִן) and the feminine of a derivative from H2300 (חָדַד); fountain of sharpness;"
"H5877","עֵין חָצוֹר","En-hazor.","En-Chatsor, a place in Palestine","from H5869 (עַיִן) and the same as H2674 (חָצוֹר); fountain of a village;"
"H5878","עֵין חֲרֹד","well of Harod.","En-Charod, a place in Palestine","from H5869 (עַיִן) and a derivative of H2729 (חָרַד); fountain of trembling;"
"H5879","עֵינַיִם","Enaim, openly (Genesis 38:21).","Enajim or Enam, a place in Palestine","or עֵינָם; dual of H5869 (עַיִן); double fountain;"
"H5880","עֵין מִשְׁפָּט","En-mishpat.","En-Mishpat, a place near Palestine","from H5869 (עַיִן) and H4941 (מִשְׁפָּט); fountain of judgment;"
"H5881","עֵינָן","Enan. Compare H2704 (חֲצַר עֵינָן).","Enan, an Israelite","from H5869 (עַיִן); having eyes;"
"H5882","עֵין עֶגְלַיִם","En-eglaim.","En-Eglajim, a place in Palestine","עַיִן and the dual of H5695 (עֵגֶל); fountain of two calves;"
"H5883","עֵין רֹגֵל","En-rogel.","En-Rogel, a place near Jerusalem","from H5869 (עַיִן) and the active participle of H7270 (רָגַל); fountain of a traveller;"
"H5884","עֵין רִמּוֹן","En-rimmon.","En-Rimmon, a place in Palestine","from H5869 (עַיִן) and H7416 (רִמּוֹן); fountain of a pomegranate;"
"H5885","עֵין שֶׁמֶשׁ","Enshemesh.","En-Shemesh, a place in Palestine","from H5869 (עַיִן) and H8121 (שֶׁמֶשׁ); fountain of the sun;"
"H5886","עֵין תַּנִּים","dragon well.","En-Tannim, a pool near Jerusalem","from H5869 (עַיִן) and the plural of H8565 (תַּן); fountain of jackals;"
"H5887","עֵין תַּפּוּחַ","En-tappuah.","En-Tappuach, a place in Palestine","from H5869 (עַיִן) and H8598 (תַּפּוּחַ); fountain of an apple-tree;"
"H5888","עָיֵף","be wearied.","to languish","a primitive root;"
"H5889","עָיֵף","faint, thirsty, weary.","languid","from H5888 (עָיֵף);"
"H5890","עֵיפָה","darkness.","obscurity (as if from covering)","feminine from H5774 (עוּף);"
"H5891","עֵיפָה","Ephah.","Ephah, the name of a son of Midian, and of the region settled by him; also of an Israelite and of an Israelitess","the same as H5890 (עֵיפָה);"
"H5892","עִיר","Ai (from margin), city, court (from margin), town.","a city (a place guarded by waking or a watch) in the widest sense (even of a mere encampment or post)","or (in the plural) עָר; or עָיַר; (Judges 10:4), from H5782 (עוּר)"
"H5893","עִיר","Ir.","Ir, an Israelite","the same as H5892 (עִיר);"
"H5894","עִיר","watcher.","a watcher, i.e. an angel (as guardian)","(Aramaic) from a root corresponding to H5782 (עוּר);"
"H5895","עַיִר","(ass) colt, foal, young ass.","properly, a young ass (as just broken to a load); hence an ass-colt","from H5782 (עוּר) in the sense of raising (i.e. bearing a burden);"
"H5896","עִירָא","Ira.","Ira, the name of three Israelites","from H5782 (עוּר); wakefulness;"
"H5897","עִירָד","Irad.","Irad, an antediluvian","from the same as H6166 (עֲרָד); fugitive;"
"H5898","עִיר הַמֶּלַח","the city of salt.","Irham-Melach, a place near Palestine","from H5892 (עִיר) and H4417 (מֶלַח) with the article of substance interp.; city of (the) salt;"
"H5899","עִיר הַתְּמָרִים","the city of palmtrees.","Ir-hat-Temarim, a place in Palestine","from H5892 (עִיר) and the plural of H8558 (תָּמָר) with the article interpolated; city of the palmtrees;"
"H5900","עִירוּ","Iru.","Iru, an Israelite","from H5892 (עִיר); a citizen;"
"H5901","עִירִי","Iri.","Iri, an Israelite","from H5892 (עִיר); urbane;"
"H5902","עִירָם","Iram.","Iram, an Idumaean","from H5892 (עִיר); city-wise;"
"H5903","עֵירֹם","naked(-ness).","nudity","or עֵרֹם; from H6191 (עָרַם);"
"H5904","עִיר נָחָשׁ","Irnahash.","Ir-Nachash, a place in Palestine","from H5892 (עִיר) and H5175 (נָחָשׁ); city of a serpent;"
"H5905","עִיר שֶׁמֶשׁ","Irshemesh.","Ir-Shemesh, a place in Palestine","from H5892 (עִיר) and H8121 (שֶׁמֶשׁ); city of the sun;"
"H5906","עַיִשׁ","Arcturus.","the constellation of the Great Bear (perhaps from its migration through the heavens)","or עָשׁ; from H5789 (עוּשׁ);"
"H5907","עַכְבּוֹר","Achbor.","Akbor, the name of an Idumaean and of two Israelites","probably for H5909 (עַכְבָּר);"
"H5908","עַכָּבִישׁ","spider.","a spider (as weaving a network)","probably from an unused root in the literal sense of entangling;"
"H5909","עַכְבָּר","mouse.","a mouse (as nibbling)","probably from the same as H5908 (עַכָּבִישׁ) in the secondary sense of attacking;"
"H5910","עַכּוֹ","Accho.","Akko (from its situation on a bay)","apparently from an unused root meaning to hem in;"
"H5911","עָכוֹר","Achor.","Akor, the name of a place in Palestine","from H5916 (עָכַר); troubled;"
"H5912","עָכָן","Achan. Compare H5917 (עָכָר).","Akan, an Israelite","from an unused root meaning to trouble; troublesome;"
"H5913","עָכַס","make a tinkling ornament.","to put on anklets","a primitive root; properly, to tie, specifically, with fetters; but used only as denominative from H5914 (עֶכֶס);"
"H5914","עֶכֶס","stocks, tinkling ornament.","a fetter; hence, an anklet","from H5913 (עָכַס);"
"H5915","עַכְסָה","Achsah.","Aksah, an Israelitess","feminine of H5914 (עֶכֶס); anklet;"
"H5916","עָכַר","trouble, stir.","properly, to roil water; figuratively, to disturb or affict","a primitive root;"
"H5917","עָכָר","Achar. Compare H5912 (עָכָן).","Akar, an Israelite","from H5916 (עָכַר); troublesome;"
"H5918","עׇכְרָן","Ocran.","Okran, an Israelite","from H5916 (עָכַר); muddler;"
"H5919","עַכְשׁוּב","adder.","an asp (from lurking coiled up)","probably from an unused root meaning to coil;"
"H5920","עַל","above, high, most High.","properly, the top; specifically, the highest (i.e. God); also (adverb) aloft, to Jehovah","from H5927 (עָלָה);"
"H5921","עַל","above, according to(-ly), after, (as) against, among, and, [idiom] as, at, because of, beside (the rest of), between, beyond the time, [idiom] both and, by (reason of), [idiom] had the charge of, concerning for, in (that), (forth, out) of, (from) (off), (up-) on, over, than, through(-out), to, touching, [idiom] with.","above, over, upon, or against (yet always in this last relation with a downward aspect) in a great variety of applications","properly, the same as H5920 (עַל) used as a preposition (in the singular or plural often with prefix, or as conjunction with a particle following);"
"H5922","עַל","about, against, concerning, for, (there-) fore, from, in, [idiom] more, of, (there-, up-) on, (in-) to, [phrase] why with.","{above, over, upon, or against (yet always in this last relation with a downward aspect) in a great variety of applications}","(Aramaic) corresponding to H5921 (עַל)"
"H5923","עֹל","yoke.","a yoke (as imposed on the neck), literally or figuratively","or עוֹל; from H5953 (עָלַל);"
"H5924","עֵלָּא","over.","above","(Aramaic) from H5922 (עַל);"
"H5925","עֻלָּא","Ulla.","Ulla, an Israelite","feminine of H5923 (עֹל); burden;"
"H5926","עִלֵּג","stammerer.","stuttering","from an unused root meaning to stutter;"
"H5927","עָלָה","arise (up), (cause to) ascend up, at once, break (the day) (up), bring (up), (cause to) burn, carry up, cast up, [phrase] shew, climb (up), (cause to, make to) come (up), cut off, dawn, depart, exalt, excel, fall, fetch up, get up, (make to) go (away, up); grow (over) increase, lay, leap, levy, lift (self) up, light, (make) up, [idiom] mention, mount up, offer, make to pay, [phrase] perfect, prefer, put (on), raise, recover, restore, (make to) rise (up), scale, set (up), shoot forth (up), (begin to) spring (up), stir up, take away (up), work.","to ascend, intransitively (be high) or actively (mount); used in a great variety of senses, primary and secondary, literal and figurative","a primitive root;"
"H5928","עֲלָה","burnt offering.","a holocaust","(Aramaic) corresponding to H5930 (עֹלָה);"
"H5929","עָלֶה","branch, leaf.","a leaf (as coming up on a tree); collectively, foliage","from H5927 (עָלָה);"
"H5930","עֹלָה","ascent, burnt offering (sacrifice), go up to. See also H5766 (עֶוֶל).","a step or (collectively, stairs, as ascending); usually a holocaust (as going up in smoke)","or עוֹלָה; feminine active participle of H5927 (עָלָה);"
"H5931","עִלָּה","occasion.","a pretext (as arising artificially)","(Aramaic) feminine from a root corresponding to H5927 (עָלָה);"
"H5932","עַלְוָה","iniquity.","moral perverseness","for H5766 (עֶוֶל);"
"H5933","עַלְוָה","Aliah, Alvah.","Alvah or Aljah, an Idumaean","or עַליָה; the same as H5932 (עַלְוָה);"
"H5934","עָלוּם","youth.","(only in plural as abstract) adolescence; figuratively, vigor","passive participle of H5956 (עָלַם) in the denominative sense of H5958 (עֶלֶם);"
"H5935","עַלְוָן","Alian, Alvan.","Alvan or Aljan, an Idumaean","or עַלְיָן; from H5927 (עָלָה); lofty;"
"H5936","עֲלוּקָה","horse-leech.","the leech","feminine passive participle of an unused root meaning to suck;"
"H5937","עָלַז","be joyful, rejoice, triumph.","to jump for joy, i.e. exult","a primitive root;"
"H5938","עָלֵז","that rejoiceth.","exultant","from H5937 (עָלַז);"
"H5939","עֲלָטָה","dark, twilight.","dusk","feminine from an unused root meaning to cover;"
"H5940","עֱלִי","pestle.","a pestle (as lifted)","from H5927 (עָלָה);"
"H5941","עֵלִי","Eli.","Eli, an Israelite highpriest","from H5927 (עָלָה); lofty;"
"H5942","עִלִּי","upper.","high; i.e. comparative","from H5927 (עָלָה);"
"H5943","עִלַּי","(most) high.","supreme (i.e. God)","(Aramaic) corresponding to H5942 (עִלִּי);"
"H5944","עֲלִיָּה","ascent, (upper) chamber, going up, loft, parlour.","something lofty, i.e. a stair-way; also a second-story room (or even one on the roof); figuratively, the sky","feminine from H5927 (עָלָה);"
"H5945","עֶלְיוֹן","(Most, on) high(-er, -est), upper(-most).","an elevation, i.e. (adj.) lofty (compar.); as title, the Supreme","from H5927 (עָלָה);"
"H5946","עֶלְיוֹן","Most high.","the Supreme","(Aramaic) corresponding to H5945 (עֶלְיוֹן);"
"H5947","עַלִּיז","joyous, (that) rejoice(-ing)","exultant","from H5937 (עָלַז);"
"H5948","עֲלִיל","furnace.","probably a crucible (as working over the metal)","from H5953 (עָלַל) in the sense of completing;"
"H5949","עֲלִילָה","act(-ion), deed, doing, invention, occasion, work.","an exploit (of God), or a performance (of man, often in a bad sense); by implication, an opportunity","or עֲלִלָה; from H5953 (עָלַל) in the sense of effecting;"
"H5950","עֲלִילִיָּה","work.","(miraculous) execution","for H5949 (עֲלִילָה);"
"H5951","עֲלִיצוּת","rejoicing.","exultation","from H5970 (עָלַץ);"
"H5952","עַלִּית","chamber. Compare H5944 (עֲלִיָּה).","a second-story room","from H5927 (עָלָה);"
"H5953","עָלַל","abuse, affect, [idiom] child, defile, do, glean, mock, practise, thoroughly, work (wonderfully).","to effect thoroughly; specifically, to glean (also figuratively); by implication (in a bad sense) to overdo, i.e. maltreat, be saucy to, pain, impose (also literal)","a primitive root;"
"H5954","עֲלַל","bring in, come in, go in.","to enter; causatively, to introduce","(Aramaic) corresponding to H5953 (עָלַל) (in the sense of thrusting oneself in),"
"H5955","עֹלֵלָה","(gleaning) (of the) grapes, grapegleanings.","only in plural gleanings; by extension gleaning-time","feminine active participle of H5953 (עָלַל);"
"H5956","עָלַם","[idiom] any ways, blind, dissembler, hide (self), secret (thing).","to veil from sight, i.e. conceal (literally or figuratively)","a primitive root;"
"H5957","עָלַם","for (n-)ever (lasting), old.","remote time, i.e. the future or past indefinitely; often adverb, forever","(Aramaic) corresponding to H5769 (עוֹלָם);"
"H5958","עֶלֶם","young man, stripling.","properly, something kept out of sight, i.e. a lad","from H5956 (עָלַם); (compare H5959 (עַלְמָה))"
"H5959","עַלְמָה","damsel, maid, virgin.","a lass (as veiled or private)","feminine of H5958 (עֶלֶם);"
"H5960","עַלְמוֹן","Almon, a place in Palestine","from H5956 (עָלַם); hidden; See also H5963 (עַלְמֹן דִּבְלָתָיְמָה)."
"H5961","עֲלָמוֹת","Alamoth.","properly, girls, i.e. the soprano or female voice, perhaps falsetto","plural of H5959 (עַלְמָה);"
"H5962","עַלְמִי","Elamite.","an Elamite or inhabitant of Elam","(Aramaic) patrial from a name corresponding to H5867 (עֵילָם) contracted;"
"H5963","עַלְמֹן דִּבְלָתָיְמָה","Almondilathaim.","Almon-Diblathajemah, a place in Moab","from the same as H5960 (עַלְמוֹן) and the dual of H1960 (הֻיְּדָה) (compare H1015 (בֵּית דִּבְלָתַיִם)) with enclitic of direction; Almon towards Diblathajim;"
"H5964","עָלֶמֶת","Alameth, Alemeth.","Alemeth, the name of a place in Palestine and of two Israelites","from H5956 (עָלַם); a covering;"
"H5965","עָלַס","[idiom] peacock, rejoice, solace self.","to leap for joy, i.e. exult, wave joyously","a primitive root;"
"H5966","עָלַע","suck up.","to sip up","a primitive root;"
"H5967","עֲלַע","rib.","a rib","(Aramaic) corresponding to H6763 (צֵלָע);"
"H5968","עָלַף","faint, overlaid, wrap self.","to veil or cover; figuratively, to be languid","a primitive root;"
"H5969","עֻלְפֶּה","fainted.","an envelope, i.e. (figuratively) mourning","from H5968 (עָלַף);"
"H5970","עָלַץ","be joyful, rejoice, triumph.","to jump for joy, i.e. exult","a primitive root;"
"H5971","עַם","folk, men, nation, people.","a people (as a congregated unit); specifically, a tribe (as those of Israel); hence (collectively) troops or attendants; figuratively, a flock","from H6004 (עָמַם);"
"H5972","עַם","people.","{a people (as a congregated unit); specifically, a tribe (as those of Israel); hence (collectively) troops or attendants; figuratively, a flock}","(Aramaic) corresponding to H5971 (עַם)"
"H5973","עִם","accompanying, against, and, as ([idiom] long as), before, beside, by (reason of), for all, from (among, between), in, like, more than, of, (un-) to, with(-al).","adverb or preposition, with (i.e. in conjunction with), in varied applications; specifically, equally with; often with prepositional prefix (and then usually unrepresented in English)","from H6004 (עָמַם);"
"H5974","עִם","by, from, like, to(-ward), with.","{adverb or preposition, with (i.e. in conjunction with), in varied applications; specifically, equally with; often with prepositional prefix (and then usually unrepresented in English)}","(Aramaic) corresponding to H5973 (עִם)"
"H5975","עָמַד","abide (behind), appoint, arise, cease, confirm, continue, dwell, be employed, endure, establish, leave, make, ordain, be (over), place, (be) present (self), raise up, remain, repair, [phrase] serve, set (forth, over, -tle, up), (make to, make to be at a, with-) stand (by, fast, firm, still, up), (be at a) stay (up), tarry.","to stand, in various relations (literal and figurative, intransitive and transitive)","a primitive root;"
"H5976","עָמַד","be at a stand.","to shake","for H4571 (מָעַד);"
"H5977","עֹמֶד","place, ([phrase] where) stood, upright.","a spot (as being fixed)","from H5975 (עָמַד);"
"H5978","עִמָּד","against, by, from, [phrase] me, [phrase] mine, of, [phrase] that I take, unto, upon, with(-in.)","along with","prolonged for H5973 (עִם);"
"H5979","עֶמְדָּה","standing.","a station, i.e. domicile","from H5975 (עָמַד);"
"H5980","עֻמָּה","(over) against, at, beside, hard by, in points.","conjunction, i.e. society; mostly adverb or preposition (with prepositional prefix), near, beside, along with","from H6004 (עָמַם);"
"H5981","עֻמָּה","Ummah.","Ummah, a place in Palestine","the same as H5980 (עֻמָּה); association;"
"H5982","עַמּוּד","[idiom] apiece, pillar.","a column (as standing); also a stand, i.e. platform","or עַמֻּד; from H5975 (עָמַד);"
"H5983","עַמּוֹן","Ammon, Ammonites.","Ammon, a son of Lot; also his posterity and their country","from H5971 (עַם); tribal, i.e. inbred;"
"H5984","עַמּוֹנִי","Ammonite(-s).","an Ammonite or (the adjective) Ammonitish","patronymically from H5983 (עַמּוֹן);"
"H5985","עַמּוֹנִית","Ammonite(-ss).","an Ammonitess","feminine of H5984 (עַמּוֹנִי);"
"H5986","עָמוֹס","Amos.","Amos, an Israelite prophet","from H6006 (עָמַס); burdensome;"
"H5987","עָמוֹק","Amok.","Amok, an Israelite","from H6009 (עָמַק); deep;"
"H5988","עַמִּיאֵל","Ammiel.","Ammiel, the name of three or four Israelites","from H5971 (עַם) and H410 (אֵל); people of God;"
"H5989","עַמִּיהוּד","Ammihud.","Ammihud, the name of three Israelites","from H5971 (עַם) and H1935 (הוֹד); people of splendor;"
"H5990","עַמִּיזָבָד","Ammizabad.","Ammizabad, an Israelite","from H5971 (עַם) and H2064 (זָבַד); people of endowment;"
"H5991","עַמִּיחוּר","Ammihud (from the margin).","Ammichur, a Syrian prince","from H5971 (עַם) and H2353 (חוּר); people of nobility;"
"H5992","עַמִּינָדָב","Amminadab.","Amminadab, the name of four Israelites","from H5971 (עַם) and H5068 (נָדַב); people of liberality;"
"H5993","עַמִּי נָדִיב","Amminadib.","Ammi-Nadib, probably an Israelite","from H5971 (עַם) and H5081 (נָדִיב); my people (is) liberal;"
"H5994","עֲמִיק","deep.","profound, i.e. unsearchable","(Aramaic) corresponding to H6012 (עָמֵק);"
"H5995","עָמִיר","handful, sheaf.","a bunch of grain","from H6014 (עָמַר);"
"H5996","עַמִּישַׁדַּי","Ammishaddai.","Ammishaddai, an Israelite","from H5971 (עַם) and H7706 (שַׁדַּי); people of (the) Almighty;"
"H5997","עָמִית","another, fellow, neighbour.","companionship; hence (concretely) a comrade or kindred man","from a primitive root meaning to associate;"
"H5998","עָמַל","(take) labour (in).","to toil, i.e. work severely and with irksomeness","a primitive root;"
"H5999","עָמָל","grievance(-vousness), iniquity, labour, mischief, miserable(-sery), pain(-ful), perverseness, sorrow, toil, travail, trouble, wearisome, wickedness.","toil, i.e. wearing effort; hence, worry, wheth. of body or mind","from H5998 (עָמַל);"
"H6000","עָמָל","Amal.","Amal, an Israelite","the same as H5999 (עָמָל);"
"H6001","עָמֵל","that laboureth, that is a misery, had taken (labour), wicked, workman.","toiling; concretely, a laborer; figuratively, sorrowful","from H5998 (עָמַל);"
"H6002","עֲמָלֵק","Amalek.","Amalek, a descendant of Esau; also his posterity and their country","probably of foreign origin;"
"H6003","עֲמָלֵקִי","Amalekite(-s).","an Amalekite (or collectively the Amalekites) or descendants of Amalek","patronymically from H6002 (עֲמָלֵק);"
"H6004","עָמַם","become dim, hide.","to associate; by implication, to overshadow (by huddling together)","a primitive root;"
"H6005","עִמָּנוּאֵל","Immanuel.","Immanuel, a type name of Isaiah's son","from H5973 (עִם) and with a pronominal suffix inserted; with us (is) God;"
"H6006","עָמַס","be borne, (heavy) burden (self), lade, load, put.","to load, i.e. impose aburden (or figuratively, infliction)","or עָמַשׂ; a primitive root;"
"H6007","עֲמַסְיָה","Amasiah.","Amasjah, an Israelite","from H6006 (עָמַס) and H3050 (יָהּ); Jah has loaded;"
"H6008","עַמְעָד","Amad.","Amad, a place in Palestine","from H5971 (עַם) and H5703 (עַד); people of time;"
"H6009","עָמַק","(be, have, make, seek) deep(-ly), depth, be profound.","to be (causatively, make) deep (literally or figuratively)","a primitive root;"
"H6010","עֵמֶק","dale, vale, valley (often used as a part of proper names). See also H1025 (בֵּית הָעֵמֶק).","a vale (i.e. broad depression)","from H6009 (עָמַק);"
"H6011","עֹמֶק","depth.","depth","from H6009 (עָמַק);"
"H6012","עָמֵק","deeper, depth, strange.","deep (literally or figuratively)","from H6009 (עָמַק);"
"H6013","עָמֹק","([idiom] exceeding) deep (thing).","deep (literally or figuratively)","from H6009 (עָמַק);"
"H6014","עָמַר","bind sheaves, make merchandise of.","to gather grain","a primitive root; properly, apparently to heap; figuratively, to chastise (as if piling blows); specifically (as denominative from H6016 (עֹמֶר))"
"H6015","עֲמַר","wool.","wool","(Aramaic) corresponding to H6785 (צֶמֶר);"
"H6016","עֹמֶר","omer, sheaf.","properly, a heap, i.e. a sheaf; also an omer, as a dry measure","from H6014 (עָמַר);"
"H6017","עֲמֹרָה","Gomorrah.","Amorah, a place in Palestine","from H6014 (עָמַר); a (ruined) heap;"
"H6018","עׇמְרִי","Omri.","Omri, an Israelite","from H6014 (עָמַר); heaping;"
"H6019","עַמְרָם","Amram.","Amram, the name of two Israelites","probably from H5971 (עַם) and H7311 (רוּם); high people;"
"H6020","עַמְרָמִי","Amramite.","an Amramite or descendant of Amram","from H6019 (עַמְרָם);"
"H6021","עֲמָשָׂא","Amasa.","Amasa, the name of two Israelites","from H6006 (עָמַס); burden;"
"H6022","עֲמָשַׂי","Amasai.","Amasai, the name of three Israelites","from H6006 (עָמַס); burdensome;"
"H6023","עֲמַשְׁסַי","Amashai.","Amashsay, an Israelite","probably from H6006 (עָמַס); burdensome;"
"H6024","עֲנָב","Anab.","Anab, a place in Palestine","from the same as H6025 (עֵנָב); fruit;"
"H6025","עֵנָב","(ripe) grape, wine.","a grape","from an unused root probably meaning to bear fruit;"
"H6026","עָנַג","delicate(-ness), (have) delight (self), sport self.","to be soft or pliable, i.e. (figuratively) effeminate or luxurious","a primitive root;"
"H6027","עֹנֶג","delight, pleasant.","luxury","from H6026 (עָנַג);"
"H6028","עָנֹג","delicate.","luxurious","from H6026 (עָנַג);"
"H6029","עָנַד","bind, tie.","to lace fast","a primitive root;"
"H6030","עָנָה","give account, afflict (by mistake for H6031 (עָנָה)), (cause to, give) answer, bring low (by mistake for H6031 (עָנָה)), cry, hear, Leannoth, lift up, say, [idiom] scholar, (give a) shout, sing (together by course), speak, testify, utter, (bear) witness. See also H1042 (בֵּית עֲנוֹת), H1043 (בֵּית עֲנָת).","properly, to eye or (generally) to heed, i.e. pay attention; by implication, to respond; by extension to begin to speak; specifically to sing, shout, testify, announce","a primitive root;"
"H6031","עָנָה","abase self, afflict(-ion, self), answer (by mistake for H6030 (עָנָה)), chasten self, deal hardly with, defile, exercise, force, gentleness, humble (self), hurt, ravish, sing (by mistake for H6030 (עָנָה)), speak (by mistake for H6030 (עָנָה)), submit self, weaken, [idiom] in any wise.","to depress literally or figuratively, transitive or intransitive (in various applications, as follows)","a primitive root (possibly rather identical with H6030 (עָנָה) through the idea of looking down or browbeating);"
"H6032","עֲנָה","answer, speak.","{properly, to eye or (generally) to heed, i.e. pay attention; by implication, to respond; by extension to begin to speak; specifically to sing, shout, testify, announce}","(Aramaic) corresponding to H6030 (עָנָה)"
"H6033","עֲנָה","poor.","{to depress literally or figuratively, transitive or intransitive (in various applications, as follows)}","(Aramaic) corresponding to H6031 (עָנָה)"
"H6034","עֲנָה","Anah.","Anah, the name of two Edomites and one Edomitess","probably from H6030 (עָנָה); an answer;"
"H6035","עָנָו","humble, lowly, meek, poor. Compare H6041 (עָנִי).","depressed (figuratively), in mind (gentle) or circumstances (needy, especially saintly)","or (by intermixture with H6041 (עָנִי)) עָנָיו; from H6031 (עָנָה);"
"H6036","עָנוּב","Anub.","Anub, an Israelite","passive participle from the same as H6025 (עֵנָב); borne (as fruit);"
"H6037","עַנְוָה","gentleness, meekness.","mildness (royal); also (concretely) oppressed","feminine of H6035 (עָנָו);"
"H6038","עֲנָוָה","gentleness, humility, meekness.","condescension, human and subjective (modesty), or divine and objective (clemency)","from H6035 (עָנָו);"
"H6039","עֱנוּת","affliction.","affliction","from H6031 (עָנָה);"
"H6040","עֳנִי","afflicted(-ion), trouble.","depression, i.e. misery","from H6031 (עָנָה);"
"H6041","עָנִי","afflicted, humble, lowly, needy, poor.","depressed, in mind or circumstances","from H6031 (עָנָה); (practically the same as H6035 (עָנָו), although the margin constantly disputes this, making H6035 (עָנָו) subjective and objective);"
"H6042","עֻנִּי","Unni.","Unni, the name of two Israelites","from H6031 (עָנָה); afflicted;"
"H6043","עֲנָיָה","Anaiah.","Anajah, the name of two Israelites","from H6030 (עָנָה); Jah has answered;"
"H6044","עָנִים","Anim.","Anim, a place in Palestine","for plural of H5869 (עַיִן); fountains;"
"H6045","עִנְיָן","business, travail.","ado, i.e. (generally) employment or (specifically) an affair","from H6031 (עָנָה);"
"H6046","עָנֵם","Anem.","Anem, a place in Palestine","from the dual of H5869 (עַיִן); two fountains;"
"H6047","עֲנָמִים","Anamim.","Anamim, a son of Mizraim and his descendants, with their country","as if plural of some Egyptian word;"
"H6048","עֲנַמֶּלֶךְ","Anammelech.","Anammelek, an Assyrian deity","of foreign origin;"
"H6049","עָנַן","[idiom] bring, enchanter, Meonemin, observe(-r of) times, soothsayer, sorcerer.","figuratively, to act covertly, i.e. practise magic","a primitive root; to cover; used only as a denominative from H6051 (עָנָן), to cloud over;"
"H6050","עֲנַן","cloud.","{a cloud (as covering the sky), i.e. the nimbus or thunder-cloud}","(Aramaic) corresponding to H6051 (עָנָן)"
"H6051","עָנָן","cloud(-y).","a cloud (as covering the sky), i.e. the nimbus or thunder-cloud","from H6049 (עָנַן);"
"H6052","עָנָן","Anan.","Anan, an Israelite","the same as H6051 (עָנָן); cloud;"
"H6053","עֲנָנָה","cloud.","cloudiness","feminine of H6051 (עָנָן);"
"H6054","עֲנָנִי","Anani.","Anani, an Israelite","from H6051 (עָנָן); cloudy;"
"H6055","עֲנַנְיָה","Ananiah.","Ananjah, the name of an Israelite and of a place in Palestine","from H6049 (עָנַן) and H3050 (יָהּ); Jah has covered;"
"H6056","עֲנַף","bough, branch.","{a twig (as covering the limbs)}","(Aramaic) or עֶנֶף; (Aramaic), corresponding to H6057 (עָנָף)"
"H6057","עָנָף","bough, branch.","a twig (as covering the limbs)","from an unused root meaning to cover;"
"H6058","עָנֵף","full of branches.","branching","from the same as H6057 (עָנָף);"
"H6059","עָנַק","compass about as a chain, furnish, liberally.","to collar, i.e. adorn with anecklace; figuratively, to fit out with supplies","a primitive root; properly, to choke; used only as denominative from H6060 (עָנָק),"
"H6060","עָנָק","chain.","a necklace (as if strangling)","from H6059 (עָנַק);"
"H6061","עָנָק","Anak.","Anak, a Canaanite","the same as H6060 (עָנָק);"
"H6062","עֲנָקִי","Anakim.","an Anakite or descendant of Anak","patronymically from H6061 (עָנָק);"
"H6063","עָנֵר","Aner.","Aner, a Amorite, also a place in Palestine","probably for H5288 (נַעַר);"
"H6064","עָנַשׁ","amerce, condemn, punish, [idiom] surely.","properly, to urge; by implication, to inflict apenalty, specifically, to fine","a primitive root;"
"H6065","עֲנַשׁ","confiscation.","a mulct","(Aramaic) corresponding to H6066 (עֹנֶשׁ);"
